150,Furniture,82,1,150,17.50,Supplies
553,Freight,5,1,553,15.50,Freight
553,Freight,6,1,553,42.75,Freight
553,Freight,7,1,553,172.50,Freight
553,Freight,28,1,553,109.50,Freight
553,Freight,25,1,553,129.00,Freight
553,Freight,26,1,553,10.00,Freight
553,Freight,20,1,553,6.00,Freight out
553,Freight,22,1,553,108.25,Freight
553,Freight,30,1,553,63.40,Freight
553,Freight,37,1,553,36.00,Freight
553,Freight,38,1,553,61.50,Freight
553,Freight,34,1,553,127.75,Freight
553,Freight,111,1,553,22.57,Freight
553,Freight,107,1,553,3689.99,Freight
553,Freight,108,1,553,67.00,Freight
553,Freight,114,1,553,127.75,Freight
553,Freight,103,1,553,2051.59,Freight
553,Freight,104,1,553,44.44,Freight
553,Freight,99,1,553,59.97,Freight
553,Freight,100,1,553,67.92,Freight
553,Freight,101,1,553,30.75,Freight
553,Freight,80,1,553,2318.03,Freight
553,Freight,81,1,553,26.25,Freight
553,Freight,84,1,553,111.00,Freight
553,Freight,85,1,553,158.00,Int'l shipment
553,Freight,86,1,553,739.20,Freight
553,Freight,87,1,553,60.00,Freight
553,Freight,88,1,553,147.25,Freight
553,Freight,90,1,553,38.75,Freight
553,Freight,93,1,553,162.75,International shipment
553,Freight,94,1,553,52.25,Freight
570,Office Supplies,12,2,570,75.60,Kinko's
570,Office Supplies,12,3,570,58.40,Office Max
570,Office Supplies,74,1,570,41.80,Coffee
572,"Books, Dues, and Subscriptions",56,1,572,2433.00,Card deck
572,"Books, Dues, and Subscriptions",47,1,572,1575.00,Catalog ad
572,"Books, Dues, and Subscriptions",16,1,572,9.95,Monthly access fee
572,"Books, Dues, and Subscriptions",23,1,572,9.95,Monthly access fee
572,"Books, Dues, and Subscriptions",95,1,572,600.00,Books for research
572,"Books, Dues, and Subscriptions",98,1,572,579.42,Catalog ad
574,Business Licenses and Taxes,15,1,574,856.92,Property Taxes
580,Meals,12,1,580,50.00,DiCicco's
582,Travel and Accomodations,105,1,582,503.20,Bronco lease
589,Outside Services,21,1,589,4901.26,Office lease
589,Outside Services,31,1,589,7125.34,Web site design
589,Outside Services,57,1,589,1367.50,401K Contributions
591,Accounting,33,1,591,220.00,Form 571-L
